_geom,preview,featured,community,nationality,technicians,photo,story
"{""type"":""MultiPolygon"",""coordinates"":[[[[-76.658399,-0.00736],[-76.659643,-0.009025],[-76.659947,-0.012643],[-76.661839,-0.015894],[-76.665404,-0.017988],[-76.669148,-0.019244],[-76.671465,-0.026781],[-76.687568,-0.024448],[-76.693569,-0.024209],[-76.705467,-0.027966],[-76.707294,-0.029353],[-76.710871,-0.030274],[-76.719213,-0.037151],[-76.727627,-0.048098],[-76.738857,-0.048097],[-76.739457,-0.045089],[-76.746074,-0.045007],[-76.749819,-0.043701],[-76.754287,-0.038293],[-76.75595,-0.035231],[-76.755522,-0.027861],[-76.754286,-0.017669],[-76.753193,-0.013685],[-76.753657,-0.004569],[-76.759182,0.007634],[-76.763777,0.011336],[-76.765765,0.021694],[-76.765999,0.056325],[-76.765029,0.055642],[-76.760871,0.055932],[-76.760708,0.056644],[-76.75975,0.057891],[-76.757109,0.059535],[-76.756083,0.058884],[-76.754593,0.058578],[-76.753407,0.058762],[-76.751674,0.059802],[-76.747599,0.059128],[-76.744832,0.060108],[-76.741107,0.057995],[-76.740134,0.05775],[-76.739434,0.058209],[-76.7365,0.05677],[-76.729092,0.056732],[-76.726484,0.05565],[-76.723502,0.053874],[-76.722682,0.053845],[-76.721625,0.054334],[-76.721199,0.053589],[-76.719045,0.052592],[-76.718523,0.051762],[-76.717667,0.052073],[-76.716578,0.051624],[-76.715485,0.052036],[-76.714343,0.051355],[-76.713407,0.051994],[-76.711733,0.05173],[-76.710517,0.051956],[-76.709576,0.051676],[-76.707124,0.052059],[-76.703925,0.051575],[-76.702446,0.050996],[-76.70214,0.050497],[-76.698655,0.049293],[-76.694838,0.045741],[-76.692959,0.045829],[-76.691658,0.045517],[-76.690388,0.043839],[-76.690349,0.04239],[-76.689639,0.04175],[-76.689404,0.040863],[-76.688483,0.040586],[-76.687431,0.04074],[-76.686627,0.039481],[-76.685778,0.038923],[-76.684213,0.039535],[-76.682143,0.03773],[-76.680975,0.035211],[-76.680458,0.033156],[-76.679783,0.032574],[-76.678715,0.03225],[-76.680284,0.029348],[-76.678056,0.025418],[-76.670069,0.020454],[-76.667378,0.012892],[-76.665731,0.009877],[-76.665555,0.007096],[-76.664872,0.005643],[-76.664885,0.004232],[-76.663946,0.000841],[-76.663242,-0.00426],[-76.66239,-0.005641],[-76.661711,-0.005818],[-76.661188,-0.006631],[-76.658399,-0.00736]]]]}",,TRUE,Cofan Dureno,Cofan,4,,"The ClearWater project broke ground in the community of Cofan Dureno from November, 2011 when 52 rainwater catchment systems were built, providing 350 people with much-needed clean water."
"{""type"":""MultiPolygon"",""coordinates"":[[[[-76.424486,-0.275105],[-76.422584,-0.278765],[-76.42312,-0.28001],[-76.429776,-0.282402],[-76.430608,-0.283007],[-76.430905,-0.285992],[-76.430211,-0.288165],[-76.429123,-0.289707],[-76.426389,-0.290545],[-76.424012,-0.289344],[-76.421926,-0.28891],[-76.417535,-0.289946],[-76.416109,-0.290721],[-76.4149,-0.292082],[-76.413137,-0.296942],[-76.411972,-0.298601],[-76.410227,-0.299403],[-76.408503,-0.2997],[-76.404196,-0.299694],[-76.404306,-0.316921],[-76.403804,-0.317632],[-76.358714,-0.309774],[-76.353297,-0.306366],[-76.331855,-0.306369],[-76.324859,-0.311596],[-76.321553,-0.294704],[-76.319889,-0.272969],[-76.320115,-0.272741],[-76.279714,-0.2732],[-76.2436,-0.273204],[-76.242246,-0.274113],[-76.241243,-0.275979],[-76.240574,-0.276605],[-76.239379,-0.276124],[-76.237132,-0.276461],[-76.236893,-0.277327],[-76.235842,-0.27853],[-76.235316,-0.278001],[-76.234264,-0.277953],[-76.232544,-0.278482],[-76.231206,-0.280792],[-76.22958,-0.280696],[-76.22872,-0.281177],[-76.226952,-0.283728],[-76.227095,-0.284401],[-76.226809,-0.28522],[-76.227575,-0.287714],[-76.230098,-0.399185],[-76.237527,-0.398044],[-76.239012,-0.396125],[-76.239038,-0.394817],[-76.240007,-0.394944],[-76.242897,-0.392349],[-76.245061,-0.392711],[-76.246818,-0.393551],[-76.248702,-0.393452],[-76.249587,-0.395482],[-76.253095,-0.397602],[-76.255031,-0.39791],[-76.256421,-0.396495],[-76.258086,-0.395775],[-76.257664,-0.397316],[-76.25945,-0.396136],[-76.261263,-0.397138],[-76.263207,-0.396824],[-76.26696,-0.397791],[-76.268299,-0.399874],[-76.270352,-0.40002],[-76.271817,-0.401355],[-76.27399,-0.401041],[-76.274532,-0.403006],[-76.278259,-0.401845],[-76.279726,-0.403018],[-76.281454,-0.401838],[-76.285501,-0.402183],[-76.288666,-0.400391],[-76.290426,-0.400987],[-76.292433,-0.404342],[-76.292806,-0.406182],[-76.293631,-0.404361],[-76.295554,-0.405597],[-76.297442,-0.405283],[-76.298213,-0.407177],[-76.298526,-0.409251],[-76.300226,-0.410081],[-76.301339,-0.412048],[-76.305502,-0.412275],[-76.306494,-0.410743],[-76.307145,-0.413106],[-76.309133,-0.413765],[-76.310578,-0.412522],[-76.312748,-0.412442],[-76.314152,-0.413949],[-76.315068,-0.417754],[-76.316969,-0.41652],[-76.31884,-0.417342],[-76.318584,-0.415331],[-76.320251,-0.414493],[-76.321476,-0.412618],[-76.323117,-0.413665],[-76.323942,-0.41179],[-76.325883,-0.411764],[-76.325682,-0.409862],[-76.329361,-0.407961],[-76.333253,-0.407152],[-76.334647,-0.405512],[-76.336314,-0.404665],[-76.337704,-0.40325],[-76.338531,-0.401312],[-76.339694,-0.399717],[-76.340072,-0.397246],[-76.341572,-0.396129],[-76.340744,-0.394163],[-76.342359,-0.392982],[-76.341534,-0.390836],[-76.342471,-0.389195],[-76.346745,-0.389531],[-76.348037,-0.390993],[-76.350152,-0.390786],[-76.351908,-0.391617],[-76.353738,-0.391411],[-76.355139,-0.393161],[-76.357189,-0.393532],[-76.358938,-0.394876],[-76.360871,-0.395418],[-76.362452,-0.396582],[-76.368087,-0.397586],[-76.369809,-0.39692],[-76.371636,-0.396894],[-76.37391,-0.397436],[-76.375523,-0.396418],[-76.376971,-0.394895],[-76.376318,-0.392704],[-76.378215,-0.391758],[-76.379735,-0.393156],[-76.408013,-0.3933],[-76.408003,-0.324912],[-76.441554,-0.313832],[-76.456138,-0.313021],[-76.455619,-0.301257],[-76.462939,-0.295375],[-76.477878,-0.293065],[-76.479041,-0.292456],[-76.482323,-0.288816],[-76.482494,-0.289133],[-76.483424,-0.289133],[-76.483732,-0.287449],[-76.485343,-0.287169],[-76.485734,-0.286756],[-76.48608,-0.285618],[-76.485631,-0.285194],[-76.486625,-0.284229],[-76.489706,-0.28433],[-76.491246,-0.282644],[-76.491984,-0.281291],[-76.492337,-0.27919],[-76.490677,-0.278396],[-76.490891,-0.2711],[-76.491666,-0.270955],[-76.491076,-0.270955],[-76.480031,-0.275677],[-76.479441,-0.268595],[-76.466794,-0.268595],[-76.437153,-0.247098],[-76.436553,-0.247883],[-76.434585,-0.249208],[-76.427633,-0.252254],[-76.426385,-0.253624],[-76.425804,-0.255707],[-76.426551,-0.261416],[-76.427895,-0.265889],[-76.42791,-0.269587],[-76.426268,-0.273022],[-76.424486,-0.275105]],[[-76.460273,-0.285331],[-76.460422,-0.285585],[-76.46009,-0.285555],[-76.460273,-0.285331]]],[[[-76.414716,-0.241764],[-76.41283,-0.242842],[-76.412022,-0.242034],[-76.41081,-0.243111],[-76.409059,-0.242303],[-76.407038,-0.243515],[-76.40623,-0.243515],[-76.403941,-0.24594],[-76.402926,-0.245602],[-76.404155,-0.297936],[-76.4077,-0.298076],[-76.4097,-0.297824],[-76.411118,-0.297067],[-76.414742,-0.289476],[-76.415514,-0.288331],[-76.416465,-0.287736],[-76.421278,-0.286178],[-76.42419,-0.286296],[-76.426033,-0.287668],[-76.42627,-0.288515],[-76.426746,-0.288633],[-76.427756,-0.28857],[-76.42835,-0.287308],[-76.428112,-0.284079],[-76.423833,-0.282175],[-76.422644,-0.281931],[-76.422285,-0.281065],[-76.421515,-0.280668],[-76.42003,-0.278936],[-76.420208,-0.277619],[-76.422941,-0.274031],[-76.424486,-0.272598],[-76.426589,-0.268892],[-76.42629,-0.265961],[-76.424573,-0.260179],[-76.424386,-0.256491],[-76.424595,-0.255414],[-76.423201,-0.254021],[-76.424278,-0.249711],[-76.422527,-0.248903],[-76.41916,-0.249441],[-76.417544,-0.246074],[-76.417948,-0.244862],[-76.416332,-0.243246],[-76.413773,-0.243515],[-76.414716,-0.241764]]],[[[-76.278133,-0.209055],[-76.27797,-0.209349],[-76.276849,-0.209404],[-76.276616,-0.210306],[-76.276105,-0.20981],[-76.275034,-0.210398],[-76.274585,-0.210237],[-76.274076,-0.210741],[-76.273716,-0.210679],[-76.273647,-0.211155],[-76.273021,-0.210757],[-76.272759,-0.21015],[-76.272465,-0.210203],[-76.265806,-0.245008],[-76.266672,-0.245622],[-76.267861,-0.245718],[-76.268574,-0.246866],[-76.269763,-0.246531],[-76.270714,-0.24768],[-76.271665,-0.247345],[-76.272188,-0.247536],[-76.272426,-0.248445],[-76.273852,-0.24878],[-76.274803,-0.249498],[-76.275563,-0.24878],[-76.276229,-0.248971],[-76.277798,-0.248732],[-76.278268,-0.249158],[-76.279809,-0.255282],[-76.285643,-0.273035],[-76.284343,-0.255309],[-76.318199,-0.255512],[-76.321109,-0.25218],[-76.321176,-0.237425],[-76.33352,-0.237046],[-76.334788,-0.233142],[-76.334109,-0.232449],[-76.333339,-0.232342],[-76.33428,-0.231285],[-76.320852,-0.225612],[-76.325142,-0.214115],[-76.322797,-0.212963],[-76.321573,-0.21292],[-76.318866,-0.21422],[-76.318788,-0.215524],[-76.318499,-0.215743],[-76.318065,-0.215039],[-76.316088,-0.213971],[-76.31507,-0.213764],[-76.312594,-0.214311],[-76.311678,-0.217272],[-76.311316,-0.217636],[-76.310906,-0.217587],[-76.310521,-0.216568],[-76.309966,-0.217102],[-76.309725,-0.216932],[-76.309002,-0.215476],[-76.30905,-0.214579],[-76.308737,-0.214089],[-76.308014,-0.21436],[-76.307581,-0.215093],[-76.306507,-0.213505],[-76.305162,-0.213168],[-76.3051,-0.212398],[-76.303447,-0.210758],[-76.302628,-0.21123],[-76.301423,-0.211044],[-76.300643,-0.210163],[-76.299559,-0.210696],[-76.298806,-0.210075],[-76.298069,-0.210381],[-76.296696,-0.209044],[-76.296239,-0.209118],[-76.29603,-0.209926],[-76.295524,-0.210286],[-76.294746,-0.210386],[-76.294351,-0.208634],[-76.293861,-0.208345],[-76.29271,-0.209032],[-76.291823,-0.207756],[-76.290698,-0.208075],[-76.289181,-0.209343],[-76.288514,-0.209515],[-76.288946,-0.209927],[-76.288588,-0.210386],[-76.286293,-0.208871],[-76.286274,-0.208447],[-76.285466,-0.20866],[-76.285046,-0.208175],[-76.284622,-0.209204],[-76.28409,-0.208948],[-76.283295,-0.209186],[-76.281683,-0.208733],[-76.281296,-0.207986],[-76.279763,-0.206976],[-76.278875,-0.207842],[-76.278396,-0.20788],[-76.278133,-0.209055]]]]}",,TRUE,Secoya,Secoya,6,,"Despite the challenges, the Secoya are highly organized and dedicated to building clean water solutions for their people. Over the months of July and August 2013 ClearWater has installed an additional 56 rainwater systems in Secoya territory."
"{""type"":""MultiPolygon"",""coordinates"":[[[[-76.737969,-0.72002],[-76.719293,-0.722544],[-76.703413,-0.72936],[-76.696945,-0.735432],[-76.691507,-0.746537],[-76.691658,-0.755864],[-76.694311,-0.771703],[-76.702698,-0.781026],[-76.733732,-0.790932],[-76.74888,-0.792258],[-76.791821,-0.790907],[-76.802993,-0.782169],[-76.802985,-0.762924],[-76.797391,-0.749456],[-76.791504,-0.737615],[-76.778855,-0.731847],[-76.760618,-0.726969],[-76.751793,-0.722976],[-76.737969,-0.72002]]]]}",,TRUE,Waorani,Waorani,4,,"ClearWater began a pilot project in the Waorani communities in March of 2013 using a new design for metal catchment system frames that will last five times longer than wooden frames. 13 systems were built, benefitting 75 people. "
"{""type"":""MultiPolygon"",""coordinates"":[[[[-76.845534,-0.820832],[-76.847299,-0.847001],[-76.863436,-0.846116],[-76.862548,-0.837994],[-76.882269,-0.838015],[-76.884054,-0.845236],[-76.903774,-0.847062],[-76.918117,-0.847077],[-76.919916,-0.841664],[-76.925333,-0.803768],[-76.884098,-0.801922],[-76.860792,-0.801898],[-76.845534,-0.820832]]]]}",,TRUE,Rumipamba,Kichwa,2,,"Installation of 53 catchment systems has already begun in the Kichwa village of Rumipamba, starting in May of 2013, which will benefit approximately 350 people. ClearWater will also be working with other Kichwa communities in the near future, ensuring clean water for all oil-affected indigenous communities.  "
"{""type"":""MultiPolygon"",""coordinates"":[[[[-76.401584,-0.188435],[-76.402926,-0.245602],[-76.403941,-0.24594],[-76.40623,-0.243515],[-76.407038,-0.243515],[-76.409059,-0.242303],[-76.41081,-0.243111],[-76.412022,-0.242034],[-76.41283,-0.242842],[-76.414716,-0.241764],[-76.413773,-0.243515],[-76.416332,-0.243246],[-76.417948,-0.244862],[-76.417544,-0.246074],[-76.41916,-0.249441],[-76.422527,-0.248903],[-76.424278,-0.249711],[-76.423201,-0.254021],[-76.424595,-0.255414],[-76.425095,-0.252893],[-76.425691,-0.25173],[-76.434013,-0.247178],[-76.440766,-0.239966],[-76.44252,-0.23865],[-76.446469,-0.238191],[-76.448014,-0.239094],[-76.450332,-0.242079],[-76.455468,-0.244697],[-76.456887,-0.244814],[-76.458474,-0.244472],[-76.460554,-0.245131],[-76.462099,-0.246448],[-76.463525,-0.246151],[-76.464297,-0.245313],[-76.464534,-0.241245],[-76.461923,-0.23779],[-76.460909,-0.233227],[-76.460434,-0.232866],[-76.460374,-0.231023],[-76.45009,-0.212232],[-76.462323,-0.195465],[-76.476325,-0.204443],[-76.480091,-0.207408],[-76.479719,-0.209044],[-76.480168,-0.20991],[-76.481324,-0.209685],[-76.481709,-0.210442],[-76.483548,-0.211994],[-76.484758,-0.212581],[-76.486474,-0.215242],[-76.488718,-0.222268],[-76.488602,-0.22565],[-76.487893,-0.227229],[-76.487035,-0.227788],[-76.485213,-0.227661],[-76.483602,-0.226289],[-76.480756,-0.225035],[-76.477784,-0.224493],[-76.477131,-0.224853],[-76.474279,-0.224672],[-76.469882,-0.228377],[-76.46798,-0.228981],[-76.466732,-0.228981],[-76.463821,-0.231794],[-76.463167,-0.233642],[-76.463167,-0.234968],[-76.466496,-0.239866],[-76.467743,-0.241003],[-76.467656,-0.243727],[-76.466853,-0.245855],[-76.462812,-0.249019],[-76.459425,-0.249261],[-76.456989,-0.248359],[-76.453939,-0.245859],[-76.452558,-0.245336],[-76.44905,-0.242936],[-76.447893,-0.242593],[-76.446066,-0.241122],[-76.441475,-0.241355],[-76.440132,-0.24241],[-76.438266,-0.244925],[-76.437153,-0.247098],[-76.466794,-0.268595],[-76.479441,-0.268595],[-76.480031,-0.275677],[-76.491076,-0.270955],[-76.495106,-0.270802],[-76.495919,-0.267228],[-76.498655,-0.267004],[-76.499041,-0.264356],[-76.499876,-0.263842],[-76.500355,-0.259708],[-76.501391,-0.259559],[-76.500222,-0.25927],[-76.501059,-0.259007],[-76.50022,-0.256314],[-76.505974,-0.246157],[-76.512777,-0.242881],[-76.516105,-0.23953],[-76.516178,-0.236329],[-76.526014,-0.233796],[-76.526457,-0.232382],[-76.531486,-0.231637],[-76.529976,-0.228566],[-76.533283,-0.228566],[-76.533206,-0.226397],[-76.554668,-0.225775],[-76.556975,-0.224614],[-76.566129,-0.22407],[-76.558513,-0.220044],[-76.558381,-0.219299],[-76.55611,-0.219127],[-76.554048,-0.217499],[-76.554389,-0.215524],[-76.550786,-0.210246],[-76.551116,-0.206846],[-76.549196,-0.203156],[-76.538333,-0.189164],[-76.537436,-0.189948],[-76.536761,-0.189948],[-76.535863,-0.187973],[-76.535767,-0.186881],[-76.535446,-0.186818],[-76.534483,-0.188748],[-76.531852,-0.191336],[-76.530473,-0.191588],[-76.530472,-0.192824],[-76.529927,-0.193401],[-76.52813,-0.194239],[-76.525274,-0.192696],[-76.523433,-0.192633],[-76.523155,-0.193084],[-76.524344,-0.193562],[-76.524793,-0.194175],[-76.524312,-0.195023],[-76.523124,-0.19615],[-76.521746,-0.196231],[-76.520159,-0.195644],[-76.519932,-0.195924],[-76.520285,-0.196231],[-76.520562,-0.198035],[-76.520083,-0.198485],[-76.519404,-0.198539],[-76.517124,-0.197447],[-76.516867,-0.196933],[-76.516996,-0.195571],[-76.517926,-0.194183],[-76.517573,-0.193731],[-76.51696,-0.193677],[-76.516579,-0.193993],[-76.516546,-0.195346],[-76.515222,-0.196301],[-76.51346,-0.195949],[-76.512599,-0.195245],[-76.512471,-0.194533],[-76.512856,-0.192828],[-76.51231,-0.191178],[-76.511701,-0.190564],[-76.511251,-0.190302],[-76.510353,-0.190789],[-76.509422,-0.190401],[-76.508716,-0.190852],[-76.50754,-0.190707],[-76.505525,-0.18911],[-76.5057,-0.187559],[-76.502492,-0.1863],[-76.502048,-0.182577],[-76.500273,-0.176696],[-76.500642,-0.171186],[-76.498768,-0.166721],[-76.496762,-0.164775],[-76.49687,-0.16121],[-76.485555,-0.154808],[-76.485703,-0.1525],[-76.470912,-0.148853],[-76.401584,-0.188435]]]]}",,TRUE,Siona,Siona,4,,"ClearWater began installation in the Siona community in October 2012 and 20 rain catchment systems were built, benefitting over 100 people. Siona technicians working for ClearWater are dedicated to improving the living conditions for all Siona community members by providing them with clean drinking water. "
,,TRUE,Sinangue,Cofan,1,,
